,paper_id,author_id,author_name
613,5819,8050,Aur?lien Bellet
614,5820,3906,Prateek Jain
615,5820,3304,Ambuj Tewari
616,5821,4851,Sashank J. Reddi
617,5821,7951,Ahmed Hefny
618,5821,2850,Suvrit Sra
619,5821,7509,Barnabas Poczos
620,5821,6548,Alexander J. Smola
621,5822,8149,Chao Qian
622,5822,8150,Yang Yu
623,5822,6485,Zhi-Hua Zhou
624,5823,8151,Qinqing Zheng
625,5823,3472,Ryota Tomioka
626,5824,8152,Rasmus Kyng
627,5824,8153,Anup Rao
628,5824,6995,Sushant Sachdeva
629,5825,7138,Niao He
630,5825,7292,Zaid Harchaoui
631,5826,8154,Alp Yurtsever
632,5826,8155,Quoc Tran Dinh
633,5826,3964,Volkan Cevher
634,5827,8074,Christoph Dann
635,5827,6649,Emma Brunskill
636,5828,8156,Christian Borgs
637,5828,8157,Jennifer Chayes
638,5828,6507,Adam Smith
639,5829,5542,Pinghua Gong
640,5829,2784,Jieping Ye
641,5830,8151,Qinqing Zheng
642,5830,7158,John Lafferty
643,5831,8158,Richard Combes
644,5831,8159,Mohammad Sadegh Talebi Mazraeh Shahi
645,5831,6653,Alexandre Proutiere
646,5831,7630,marc lelarge
647,5832,6349,Rafael Frongillo
648,5832,8160,Ian Kash
649,5833,8161,Kent Quanrud
650,5833,8162,Daniel Khashabi
651,5834,7218,Sheng Chen
652,5834,5303,Arindam Banerjee
653,5835,6643,Vitaly Feldman
654,5835,8163,Will Perkins
655,5835,8164,Santosh Vempala
656,5836,7524,Vitaly Kuznetsov
657,5836,2319,Mehryar Mohri
658,5837,8165,Takashi Takenouchi
659,5837,3823,Takafumi Kanamori
660,5838,6323,Jie Wang
661,5838,2784,Jieping Ye
662,5839,5296,Jayadev Acharya
663,5839,8166,Constantinos Daskalakis
664,5839,8167,Gautam Kamath
665,5840,8168,Mithun Chakraborty
666,5840,4116,Sanmay Das
667,5841,8169,Yaron Singer
668,5841,8170,Jan Vondrak
669,5842,2467,Ofer Dekel
670,5842,8171,Ronen Eldan
671,5842,5077,Tomer Koren
672,5843,8172,Walid Krichene
673,5843,8173,Alexandre Bayen
674,5843,6348,Peter L. Bartlett
675,5844,8174,Dylan J. Foster
676,5844,3451,Alexander Rakhlin
677,5844,3842,Karthik Sridharan
678,5845,7879,Scott E. Reed
679,5845,3967,Yi Zhang
680,5845,8175,Yuting Zhang
681,5845,3292,Honglak Lee
682,5846,8176,Sainbayar Sukhbaatar
683,5846,8086,arthur szlam
684,5846,1912,Jason Weston
685,5846,2794,Rob Fergus
686,5847,8177,Jan K. Chorowski
687,5847,8178,Dzmitry Bahdanau
688,5847,8179,Dmitriy Serdyuk
689,5847,7192,Kyunghyun Cho
690,5847,178,Yoshua Bengio
691,5848,8180,Adria Recasens
692,5848,5335,Aditya Khosla
693,5848,4933,Carl Vondrick
694,5848,2458,Antonio Torralba
695,5849,6392,Rie Johnson
696,5849,1901,Tong Zhang
697,5850,6577,Rupesh K. Srivastava
698,5850,8181,Klaus Greff
699,5850,583,J?rgen Schmidhuber
700,5851,6306,Tejas D. Kulkarni
701,5851,8182,William F. Whitney
702,5851,4400,Pushmeet Kohli
703,5851,6308,Josh Tenenbaum
704,5852,8183,Pedro O. Pinheiro
705,5852,2141,Ronan Collobert
706,5852,7400,Piotr Dollar
707,5853,6767,Dan Rosenbaum
708,5853,1523,Yair Weiss
709,5854,8184,Max Jaderberg
710,5854,6376,Karen Simonyan
711,5854,2581,Andrew Zisserman
712,5854,7564,koray kavukcuoglu
713,5855,8185,Po-Hsuan (Cameron) Chen
714,5855,8186,Janice Chen
715,5855,8187,Yaara Yeshurun
716,5855,4240,Uri Hasson
717,5855,4339,James Haxby
718,5855,4241,Peter J. Ramadge
719,5856,8188,Dane S. Corneil
720,5856,549,Wulfram Gerstner
721,5857,4503,Armand Joulin
722,5857,6523,Tomas Mikolov
723,5858,8189,Seunghoon Hong
724,5858,8190,Hyeonwoo Noh
725,5858,7598,Bohyung Han
726,5859,8191,Junhyuk Oh
727,5859,6764,Xiaoxiao Guo
728,5859,3292,Honglak Lee
729,5859,4828,Richard L. Lewis
730,5859,6765,Satinder Singh
731,5860,8192,Keenon Werling
732,5860,7993,Arun Tejasvi Chaganty
733,5860,3559,Percy S. Liang
734,5860,2133,Christopher D. Manning
735,5861,6545,Jimmy Ba
